time_s,vibration_mm_s
0.000000,-6.038305
0.000500,-4.639694
0.001000,-1.176813
0.001500,2.251791
0.002000,3.709953
0.002500,3.758916
0.003000,1.698884
0.003500,-0.412745
0.004000,-3.411058
0.004500,-5.810940
0.005000,-5.897687
0.005500,-4.776429
0.006000,-2.297268
0.006500,2.066697
0.007000,5.240400
0.007500,8.514882
0.008000,8.847891
0.008500,7.517068
0.009000,4.479574
0.009500,1.696880
0.010000,-2.064108
0.010500,-4.138379
0.011000,-4.312423
0.011500,-2.433520
0.012000,0.194461
0.012500,3.163405
0.013000,5.388637
0.013500,6.800681
0.014000,4.721484
0.014500,2.086388
0.015000,-1.429012
0.015500,-4.068471
0.016000,-5.950223
0.016500,-6.800128
0.017000,-5.618044
0.017500,-2.772934
0.018000,1.147729
0.018500,3.977976
0.019000,5.278277
0.019500,4.304652
0.020000,2.402919
0.020500,-1.043850
0.021000,-4.566690
0.021500,-6.998259
0.022000,-8.293361
0.022500,-7.184468
0.023000,-4.801173
0.023500,-1.131737
0.024000,2.530327
0.024500,4.197612
0.025000,5.495241
0.025500,4.496279
0.026000,2.133789
0.026500,-0.536438
0.027000,-2.177512
0.027500,-4.170395
0.028000,-2.762095
0.028500,-1.546071
0.029000,2.238491
0.029500,5.695807
0.030000,8.145125
0.030500,8.770773
0.031000,7.436830
0.031500,3.997632
0.032000,0.154266
0.032500,-2.891716
0.033000,-5.689185
0.033500,-6.685399
0.034000,-5.291988
0.034500,-2.445042
0.035000,1.420217
0.035500,4.079109
0.036000,5.728327
0.036500,4.888938
0.037000,3.010557
0.037500,-0.015236
0.038000,-3.753088
0.038500,-5.973327
0.039000,-7.381169
0.039500,-6.405474
0.040000,-4.043053
0.040500,-1.246874
0.041000,2.312353
0.041500,3.668827
0.042000,3.898017
0.042500,2.391901
0.043000,-0.531235
0.043500,-3.665432
0.044000,-6.481383
0.044500,-7.574877
0.045000,-6.460233
0.045500,-4.355422
0.046000,-0.429599
0.046500,3.524543
0.047000,6.603238
0.047500,8.402940
0.048000,7.159713
0.048500,5.000489
0.049000,2.433546
0.049500,-1.322805
0.050000,-2.899196
0.050500,-3.920283
0.051000,-2.266426
0.051500,0.029057
0.052000,3.226385
0.052500,6.021676
0.053000,5.886202
0.053500,5.841969
0.054000,3.235462
0.054500,-0.563124
0.055000,-4.330230
0.055500,-6.129393
0.056000,-7.069409
0.056500,-5.572246
0.057000,-2.949717
0.057500,1.074246
0.058000,3.378638
0.058500,4.819806
0.059000,5.215015
0.059500,3.295888
0.060000,0.506831
0.060500,-3.328174
0.061000,-6.484267
0.061500,-7.500818
0.062000,-8.115086
0.062500,-5.703224
0.063000,-2.546787
0.063500,1.049105
0.064000,3.168760
0.064500,4.931217
0.065000,3.792838
0.065500,1.097889
0.066000,-1.524081
0.066500,-3.419535
0.067000,-4.384235
0.067500,-3.348510
0.068000,-0.706093
0.068500,1.697565
0.069000,4.727293
0.069500,7.023513
0.070000,9.093206
0.070500,7.784885
0.071000,5.307697
0.071500,1.562528
0.072000,-1.925629
0.072500,-4.120054
0.073000,-5.458698
0.073500,-4.667450
0.074000,-2.581089
0.074500,0.300471
0.075000,3.596257
0.075500,5.366315
0.076000,5.944436
0.076500,3.405189
0.077000,0.673244
0.077500,-3.273276
0.078000,-6.188200
0.078500,-7.251031
0.079000,-6.492783
0.079500,-3.105606
0.080000,-1.170225
0.080500,2.496632
0.081000,3.738356
0.081500,4.713910
0.082000,2.923866
0.082500,-0.238129
0.083000,-3.642913
0.083500,-6.804708
0.084000,-7.841882
0.084500,-7.744344
0.085000,-5.718621
0.085500,-2.129361
0.086000,2.373701
0.086500,6.128728
0.087000,7.207316
0.087500,6.845074
0.088000,5.070731
0.088500,2.560243
0.089000,-0.799301
0.089500,-3.032100
0.090000,-2.825800
0.090500,-1.788507
0.091000,1.255529
0.091500,3.776147
0.092000,5.741153
0.092500,6.827882
0.093000,7.351556
0.093500,4.970730
0.094000,0.697814
0.094500,-3.033221
0.095000,-5.065530
0.095500,-7.216597
0.096000,-6.322240
0.096500,-3.245700
0.097000,-0.314622
0.097500,3.046835
0.098000,5.068951
0.098500,5.591470
0.099000,4.461548
0.099500,0.939228
0.100000,-2.405650
0.100500,-6.588975
0.101000,-7.546479
0.101500,-7.795382
0.102000,-6.117720
0.102500,-2.984279
0.103000,0.471204
0.103500,3.466755
0.104000,3.585522
0.104500,3.396850
0.105000,0.996712
0.105500,-1.847872
0.106000,-3.949129
0.106500,-5.572540
0.107000,-4.920646
0.107500,-3.369919
0.108000,-0.128064
0.108500,3.919677
0.109000,7.315727
0.109500,8.970036
0.110000,8.168807
0.110500,6.479157
0.111000,3.155493
0.111500,0.454103
0.112000,-2.630684
0.112500,-4.993292
0.113000,-4.192707
0.113500,-2.519275
0.114000,0.795443
0.114500,3.955735
0.115000,6.012732
0.115500,5.257027
0.116000,3.557795
0.116500,-0.040829
0.117000,-2.649826
0.117500,-5.812955
0.118000,-6.976860
0.118500,-6.667593
0.119000,-4.233081
0.119500,-1.764524
0.120000,1.525520
0.120500,5.185162
0.121000,4.374263
0.121500,3.124952
0.122000,1.441164
0.122500,-1.705595
0.123000,-6.586522
0.123500,-8.233312
0.124000,-8.042578
0.124500,-5.653518
0.125000,-3.479683
0.125500,0.598427
0.126000,4.273348
0.126500,6.025195
0.127000,5.780575
0.127500,4.268412
0.128000,1.102826
0.128500,-1.231559
0.129000,-3.190790
0.129500,-3.412038
0.130000,-2.420814
0.130500,0.672718
0.131000,4.152380
0.131500,6.651461
0.132000,8.247947
0.132500,7.794559
0.133000,5.599286
0.133500,1.851055
0.134000,-1.541542
0.134500,-4.818710
0.135000,-5.515282
0.135500,-5.365473
0.136000,-3.727224
0.136500,-1.006259
0.137000,2.106321
0.137500,5.346182
0.138000,5.642562
0.138500,4.530203
0.139000,0.919063
0.139500,-1.456123
0.140000,-4.801881
0.140500,-7.380956
0.141000,-7.328727
0.141500,-5.473959
0.142000,-2.752820
0.142500,0.268210
0.143000,2.864830
0.143500,3.902155
0.144000,3.395675
0.144500,1.702209
0.145000,-2.982566
0.145500,-4.982980
0.146000,-6.642928
0.146500,-6.653759
0.147000,-5.066495
0.147500,-2.270010
0.148000,2.547885
0.148500,6.669041
0.149000,7.563183
0.149500,8.809454
0.150000,6.710149
0.150500,3.832520
0.151000,0.015097
0.151500,-2.529081
0.152000,-3.299077
0.152500,-3.233033
0.153000,-0.829562
0.153500,1.803605
0.154000,4.313989
0.154500,6.645181
0.155000,6.293689
0.155500,4.841463
0.156000,1.414003
0.156500,-1.952956
0.157000,-5.294717
0.157500,-6.299805
0.158000,-7.008418
0.158500,-4.291965
0.159000,-1.571668
0.159500,2.307471
0.160000,4.673378
0.160500,6.043358
0.161000,4.636858
0.161500,1.080324
0.162000,-1.873815
0.162500,-5.772383
0.163000,-7.873244
0.163500,-7.654668
0.164000,-6.670611
0.164500,-4.347139
0.165000,-0.927835
0.165500,2.704781
0.166000,4.195226
0.166500,4.679748
0.167000,3.655007
0.167500,1.451675
0.168000,-1.522056
0.168500,-4.677830
0.169000,-4.137470
0.169500,-2.957130
0.170000,-0.056798
0.170500,3.922122
0.171000,5.675638
0.171500,8.260319
0.172000,8.881572
0.172500,6.223224
0.173000,4.187870
0.173500,-0.089795
0.174000,-3.254588
0.174500,-5.792821
0.175000,-5.333692
0.175500,-3.515605
0.176000,-0.921455
0.176500,2.270331
0.177000,4.725046
0.177500,5.187249
0.178000,4.561032
0.178500,2.072886
0.179000,-1.040302
0.179500,-3.977260
0.180000,-6.901527
0.180500,-6.939780
0.181000,-4.928817
0.181500,-3.122759
0.182000,0.011803
0.182500,3.055592
0.183000,4.573819
0.183500,3.708428
0.184000,2.040181
0.184500,-1.358936
0.185000,-4.615147
0.185500,-7.008650
0.186000,-6.860284
0.186500,-6.462519
0.187000,-4.114582
0.187500,1.257015
0.188000,4.180255
0.188500,6.991990
0.189000,8.260729
0.189500,5.981927
0.190000,3.555580
0.190500,0.259153
0.191000,-2.153145
0.191500,-3.119927
0.192000,-2.833232
0.192500,-1.073366
0.193000,1.099675
0.193500,3.643607
0.194000,6.579799
0.194500,6.746942
0.195000,5.667499
0.195500,2.821323
0.196000,-1.042388
0.196500,-4.108657
0.197000,-6.377252
0.197500,-6.482807
0.198000,-5.338322
0.198500,-2.142358
0.199000,1.426007
0.199500,4.481883
0.200000,5.330088
0.200500,5.134494
0.201000,2.502740
0.201500,-0.850035
0.202000,-3.995847
0.202500,-7.750348
0.203000,-8.457814
0.203500,-7.628047
0.204000,-5.483131
0.204500,-1.524015
0.205000,2.160857
0.205500,3.761430
0.206000,4.309355
0.206500,3.326733
0.207000,0.888582
0.207500,-2.517781
0.208000,-4.119645
0.208500,-5.321925
0.209000,-4.563035
0.209500,-1.707875
0.210000,1.618256
0.210500,5.455365
0.211000,8.181890
0.211500,9.366645
0.212000,8.458696
0.212500,4.316183
0.213000,1.327538
0.213500,-2.696873
0.214000,-4.342244
0.214500,-5.057137
0.215000,-4.391647
0.215500,-0.630935
0.216000,1.830409
0.216500,4.342760
0.217000,5.204778
0.217500,4.661199
0.218000,2.770949
0.218500,-0.742453
0.219000,-3.783049
0.219500,-6.037632
0.220000,-6.275417
0.220500,-5.747347
0.221000,-3.576678
0.221500,0.674131
0.222000,2.943854
0.222500,5.049995
0.223000,4.474523
0.223500,2.211601
0.224000,-0.851254
0.224500,-3.714557
0.225000,-6.377542
0.225500,-8.279492
0.226000,-7.365086
0.226500,-4.349670
0.227000,-1.411583
0.227500,2.816689
0.228000,5.475958
0.228500,6.756987
0.229000,5.586311
0.229500,3.072681
0.230000,-0.032556
0.230500,-2.270755
0.231000,-3.455394
0.231500,-3.165088
0.232000,-0.410747
0.232500,2.198377
0.233000,4.478722
0.233500,7.286066
0.234000,7.679591
0.234500,6.534535
0.235000,3.896796
0.235500,0.360122
0.236000,-3.600984
0.236500,-5.498667
0.237000,-7.058684
0.237500,-5.354740
0.238000,-1.573766
0.238500,0.860124
0.239000,4.324753
0.239500,5.451034
0.240000,5.476585
0.240500,3.252864
0.241000,0.011060
0.241500,-3.723391
0.242000,-6.010879
0.242500,-7.785341
0.243000,-6.599417
0.243500,-4.235640
0.244000,-1.417436
0.244500,1.364934
0.245000,3.703052
0.245500,3.819659
0.246000,3.010167
0.246500,-0.695539
0.247000,-3.136009
0.247500,-6.267644
0.248000,-7.110176
0.248500,-5.132501
0.249000,-2.718783
0.249500,0.366571
0.250000,3.932014
0.250500,6.332944
0.251000,8.602078
0.251500,9.092132
0.252000,5.865651
0.252500,2.049156
0.253000,-0.930311
0.253500,-4.122470
0.254000,-4.340618
0.254500,-3.114505
0.255000,-0.748652
0.255500,2.578056
0.256000,4.914275
0.256500,6.245360
0.257000,5.145347
0.257500,3.560507
0.258000,0.583360
0.258500,-3.834360
0.259000,-6.301501
0.259500,-6.303160
0.260000,-5.944099
0.260500,-2.782366
0.261000,-0.221123
0.261500,3.596774
0.262000,4.933128
0.262500,5.055477
0.263000,3.787887
0.263500,-0.145838
0.264000,-4.011052
0.264500,-6.868006
0.265000,-8.095423
0.265500,-8.562123
0.266000,-5.508910
0.266500,-2.599579
0.267000,1.702018
0.267500,3.150031
0.268000,5.139475
0.268500,4.327325
0.269000,2.695292
0.269500,0.364387
0.270000,-2.376900
0.270500,-3.879279
0.271000,-3.655612
0.271500,-1.627110
0.272000,0.969220
0.272500,5.043067
0.273000,7.704721
0.273500,8.732414
0.274000,8.003363
0.274500,5.329879
0.275000,2.365736
0.275500,-2.232603
0.276000,-5.135133
0.276500,-6.446112
0.277000,-5.757950
0.277500,-3.429978
0.278000,-0.051378
0.278500,3.312908
0.279000,5.363162
0.279500,5.396105
0.280000,3.411341
0.280500,1.098675
0.281000,-2.385761
0.281500,-5.598790
0.282000,-7.252240
0.282500,-6.428251
0.283000,-4.575742
0.283500,-2.229152
0.284000,1.375562
0.284500,3.646551
0.285000,3.724961
0.285500,2.919548
0.286000,-0.396870
0.286500,-2.540220
0.287000,-5.414110
0.287500,-7.509846
0.288000,-6.872988
0.288500,-5.708273
0.289000,-1.601228
0.289500,2.738881
0.290000,5.755853
0.290500,8.271388
0.291000,8.644133
0.291500,5.443008
0.292000,2.519372
0.292500,-0.265427
0.293000,-2.095735
0.293500,-4.070290
0.294000,-2.569577
0.294500,0.386316
0.295000,1.955455
0.295500,4.707148
0.296000,6.412930
0.296500,5.984252
0.297000,4.396284
0.297500,0.868087
0.298000,-3.496092
0.298500,-5.382051
0.299000,-7.065795
0.299500,-5.671616
0.300000,-4.097202
0.300500,-0.802647
0.301000,2.921995
0.301500,5.222720
0.302000,5.577908
0.302500,3.298461
0.303000,1.244522
0.303500,-3.005650
0.304000,-5.757157
0.304500,-8.387002
0.305000,-7.764571
0.305500,-6.546067
0.306000,-3.705943
0.306500,0.526037
0.307000,3.168402
0.307500,4.257360
0.308000,4.763853
0.308500,2.136600
0.309000,-0.409495
0.309500,-2.954083
0.310000,-4.914048
0.310500,-4.420517
0.311000,-2.984940
0.311500,0.248170
0.312000,4.628128
0.312500,6.788003
0.313000,7.910704
0.313500,9.246029
0.314000,7.460125
0.314500,2.828887
0.315000,-1.557341
0.315500,-3.959630
0.316000,-5.463637
0.316500,-5.047414
0.317000,-3.361184
0.317500,0.339656
0.318000,3.320440
0.318500,4.526504
0.319000,5.772345
0.319500,4.889242
0.320000,1.322094
0.320500,-2.258768
0.321000,-5.119639
0.321500,-6.449763
0.322000,-7.244508
0.322500,-4.636725
0.323000,-1.894401
0.323500,2.145355
0.324000,3.667196
0.324500,5.169681
0.325000,2.983860
0.325500,1.024588
0.326000,-2.510305
0.326500,-6.182470
0.327000,-7.753663
0.327500,-7.484157
0.328000,-6.288625
0.328500,-3.524579
0.329000,1.075101
0.329500,4.218400
0.330000,6.596963
0.330500,7.010601
0.331000,4.873384
0.331500,2.201494
0.332000,0.036796
0.332500,-2.676593
0.333000,-4.361946
0.333500,-2.162621
0.334000,-0.046235
0.334500,2.607326
0.335000,5.161770
0.335500,7.642979
