time_s,vibration_mm_s
0.000000,5.014574
0.000500,4.295613
0.001000,3.565617
0.001500,3.925323
0.002000,3.223574
0.002500,2.010736
0.003000,2.491307
0.003500,1.497529
0.004000,0.657467
0.004500,0.622790
0.005000,-0.447526
0.005500,-1.043806
0.006000,-1.744604
0.006500,-1.727207
0.007000,-2.109886
0.007500,-2.538406
0.008000,-3.002451
0.008500,-2.775181
0.009000,-2.851034
0.009500,-3.211731
0.010000,-3.094454
0.010500,-2.137273
0.011000,-2.930487
0.011500,-1.571006
0.012000,-1.382519
0.012500,-0.290986
0.013000,-0.429819
0.013500,0.477116
0.014000,0.608288
0.014500,1.271354
0.015000,1.943495
0.015500,1.934528
0.016000,2.800883
0.016500,2.394245
0.017000,3.060436
0.017500,3.413778
0.018000,3.368554
0.018500,3.765225
0.019000,2.693756
0.019500,2.255895
0.020000,2.083187
0.020500,2.275912
0.021000,1.761528
0.021500,1.104317
0.022000,0.106980
0.022500,0.162897
0.023000,-1.162868
0.023500,-0.965973
0.024000,-1.002664
0.024500,-2.484549
0.025000,-2.983079
0.025500,-3.884485
0.026000,-4.807998
0.026500,-4.773933
0.027000,-5.250285
0.027500,-5.587213
0.028000,-4.593141
0.028500,-5.114105
0.029000,-4.987304
0.029500,-5.036741
0.030000,-4.698456
0.030500,-3.916145
0.031000,-3.794835
0.031500,-3.051089
0.032000,-2.693572
0.032500,-2.080463
0.033000,-1.750437
0.033500,-1.223944
0.034000,0.111232
0.034500,0.949756
0.035000,1.184386
0.035500,2.289561
0.036000,2.936170
0.036500,2.714413
0.037000,3.625107
0.037500,4.479606
0.038000,4.772002
0.038500,4.434680
0.039000,4.995246
0.039500,5.297581
0.040000,5.111859
0.040500,4.610721
0.041000,4.194535
0.041500,3.770437
0.042000,3.714831
0.042500,3.119237
0.043000,2.723338
0.043500,1.967297
0.044000,1.606223
0.044500,0.746427
0.045000,0.391459
0.045500,-0.150774
0.046000,-1.271854
0.046500,-2.107672
0.047000,-1.357871
0.047500,-2.160756
0.048000,-3.124720
0.048500,-2.964495
0.049000,-2.546988
0.049500,-2.928758
0.050000,-2.936082
0.050500,-2.108044
0.051000,-2.727276
0.051500,-2.330708
0.052000,-1.605440
0.052500,-1.119046
0.053000,-0.618548
0.053500,0.016731
0.054000,0.270226
0.054500,0.873681
0.055000,1.097989
0.055500,1.667872
0.056000,2.098637
0.056500,2.497195
0.057000,2.988359
0.057500,3.134385
0.058000,3.096459
0.058500,2.852214
0.059000,3.123934
0.059500,2.964824
0.060000,2.827554
0.060500,3.232095
0.061000,1.896716
0.061500,1.776246
0.062000,1.488677
0.062500,0.584460
0.063000,0.765693
0.063500,-0.811998
0.064000,-1.203327
0.064500,-2.228485
0.065000,-2.684239
0.065500,-3.051939
0.066000,-3.372343
0.066500,-4.025035
0.067000,-4.091255
0.067500,-4.877431
0.068000,-5.181520
0.068500,-4.242588
0.069000,-5.073400
0.069500,-5.382592
0.070000,-5.190798
0.070500,-4.995399
0.071000,-3.961185
0.071500,-3.953307
0.072000,-3.240635
0.072500,-2.700671
0.073000,-1.762104
0.073500,-1.614502
0.074000,-0.969715
0.074500,0.219672
0.075000,1.079960
0.075500,1.693113
0.076000,1.964307
0.076500,3.105407
0.077000,3.165570
0.077500,3.726636
0.078000,3.978054
0.078500,5.071464
0.079000,5.048210
0.079500,5.148267
0.080000,5.381642
0.080500,5.838103
0.081000,4.067619
0.081500,4.129046
0.082000,3.810792
0.082500,3.294720
0.083000,2.719823
0.083500,2.447656
0.084000,1.547054
0.084500,1.489613
0.085000,0.783795
0.085500,0.335986
0.086000,-0.229832
0.086500,-0.735110
0.087000,-1.566355
0.087500,-1.122379
0.088000,-2.141816
0.088500,-3.156973
0.089000,-3.053514
0.089500,-3.422122
0.090000,-2.828395
0.090500,-2.810687
0.091000,-2.780725
0.091500,-1.681998
0.092000,-1.890258
0.092500,-1.461419
0.093000,-1.621789
0.093500,-1.185159
0.094000,-0.334315
0.094500,0.215697
0.095000,0.007762
0.095500,1.082557
0.096000,1.610860
0.096500,1.949864
0.097000,2.106553
0.097500,2.504501
0.098000,2.860320
0.098500,3.102231
0.099000,3.344266
0.099500,3.483635
0.100000,2.884595
0.100500,2.620972
0.101000,2.640983
0.101500,2.328554
0.102000,1.517178
0.102500,1.437139
0.103000,0.942851
0.103500,0.452286
0.104000,-0.002831
0.104500,-1.565142
0.105000,-1.890048
0.105500,-2.505422
0.106000,-3.124951
0.106500,-3.851919
0.107000,-4.618435
0.107500,-4.467870
0.108000,-5.088875
0.108500,-5.018953
0.109000,-5.459174
0.109500,-5.597285
0.110000,-5.058598
0.110500,-4.913477
0.111000,-4.489530
0.111500,-3.558542
0.112000,-3.770413
0.112500,-3.163327
0.113000,-3.108668
0.113500,-2.525670
0.114000,-0.824094
0.114500,-0.977948
0.115000,-0.285870
0.115500,0.795421
0.116000,1.487085
0.116500,1.877353
0.117000,2.712009
0.117500,3.812557
0.118000,3.590228
0.118500,3.791348
0.119000,4.924777
0.119500,4.986121
0.120000,4.715321
0.120500,4.396003
0.121000,4.606144
0.121500,4.667817
0.122000,4.824013
0.122500,3.698867
0.123000,3.603896
0.123500,3.378960
0.124000,1.768337
0.124500,2.386281
0.125000,1.011160
0.125500,0.934368
0.126000,0.304970
0.126500,0.020390
0.127000,-0.708841
0.127500,-2.228078
0.128000,-2.105591
0.128500,-2.148169
0.129000,-2.553152
0.129500,-2.522869
0.130000,-2.531786
0.130500,-2.624418
0.131000,-2.853593
0.131500,-3.280805
0.132000,-2.569780
0.132500,-1.967233
0.133000,-2.132930
0.133500,-1.114861
0.134000,-0.560494
0.134500,-0.347678
0.135000,-0.962754
0.135500,0.165110
0.136000,1.762572
0.136500,1.374343
0.137000,1.294479
0.137500,2.792419
0.138000,2.672824
0.138500,3.290473
0.139000,3.156198
0.139500,3.289583
0.140000,3.236781
0.140500,3.244038
0.141000,3.597752
0.141500,2.855027
0.142000,1.595797
0.142500,1.865690
0.143000,1.605395
0.143500,1.070461
0.144000,-0.096583
0.144500,-0.163179
0.145000,-0.882321
0.145500,-0.940425
0.146000,-2.719807
0.146500,-3.219444
